Vehicle_ID,Year,Make,Model,Trim,Miles,Sale Price,Status,Mode of Purchase,Zip Code,Recently Sold For
216,2008,Mazda,MX5,base,25019,17406,Used,Dealership,25684,16486
217,2012,Honda,Accord,base,132125,9795,Used,Individual Seller,52165,17688
218,1995,Mazda,MX5,N/A,118586,17384,Used,Individual Seller,90361,17166
219,2018,Lincoln,Navigator,base,17703,22603,Certified,Dealership,40582,10189
220,2014,Audi,A3,sport,56217,10481,Used,Dealership,64229,10367
221,2017,Mazda,3,luxury,84425,12055,Used,Dealership,65120,7256
222,2020,Subaru,Forester,base,13122,30392,Certified,Dealership,61199,14551
223,2013,Subaru,Forester,sport,51168,26908,Used,Individual Seller,94009,13629
224,2020,Dodge,Grand Caravan,base,28002,11815,Certified,Dealership,94847,27062
225,2008,Volkswagen,Golf,sport,122620,9704,Used,Individual Seller,16374,20488
226,1997,Jeep,Grand Cherokee,N/A,74964,12865,Used,Individual Seller,75875,16514
227,2005,Nissan,Murano,N/A,34770,24603,Used,Individual Seller,40096,6260
228,1999,Dodge,Charger,N/A,87125,11642,Used,Dealership,54458,14904
229,2023,Dodge,Grand Caravan,base,35,27350,New,Dealership,22731,45341
230,1997,Mercedes,S-Class,N/A,114473,18886,Used,Dealership,51198,19222
231,1996,GMC,Yukon,N/A,16678,19494,Used,Dealership,52819,5158
232,2002,Lincoln,Navigator,N/A,116485,13046,Used,Dealership,46757,8126
233,2009,Acura,Integra,base,25516,20101,Used,Dealership,94674,8456
234,2004,Nissan,Maxima,N/A,92302,13191,Used,Dealership,95351,10539
235,2006,Kia,Rio,base,19555,22595,Used,Individual Seller,74749,26396
236,1998,Subaru,WRX,N/A,47840,13854,Used,Individual Seller,26067,29506
237,2003,Toyota,Highlander,N/A,140433,17163,Used,Dealership,64328,15358
238,2012,Jeep,Wrangler,base,79100,8989,Used,Individual Seller,79515,21973
239,1997,Subaru,WRX,N/A,83696,18860,Used,Dealership,35068,11493
240,2000,Lexus,RX,N/A,48851,15954,Used,Individual Seller,81064,27264
241,2007,Nissan,Frontier,sport,33437,19364,Used,Dealership,69709,25858
242,2010,Chrysler,Town & Country,sport,10925,32572,Used,Dealership,77220,20804
243,2020,Subaru,Forester,base,33639,24892,Certified,Dealership,44505,14551
244,2019,Volkswagen,Jetta,sport,5472,28920,Certified,Dealership,70884,28102
245,2022,Volkswagen,Atlas,base,71,29513,New,Dealership,78591,25251
246,2002,Dodge,Ram 1500,N/A,90913,15564,Used,Individual Seller,74487,17009
247,2021,Jeep,Grand Cherokee,sport,32919,18367,Certified,Dealership,78859,15656
248,1998,Toyota,RAV4,N/A,90056,18043,Used,Dealership,52807,34770
249,2001,Acura,Integra,N/A,108607,14622,Used,Individual Seller,77179,27256
250,1999,Ford,Focus,N/A,107855,5036,Used,Dealership,67418,23458
251,2003,Dodge,Durango,N/A,91794,6719,Used,Individual Seller,47412,19844
252,2018,Chevrolet,Equinox,base,25982,22984,Certified,Dealership,90506,13629
253,1995,Volkswagen,Golf,N/A,18434,21206,Used,Dealership,62440,6481
254,2007,Honda,HR-V,luxury,22365,33049,Used,Dealership,42285,16415
255,2004,Honda,Civic,N/A,84017,7791,Used,Individual Seller,69944,9786
256,2016,Toyota,RAV4,sport,104098,15896,Used,Individual Seller,81903,28880
257,2013,Lincoln,Navigator,base,61511,32474,Used,Dealership,32408,12602
258,2018,Acura,Integra,sport,8794,15813,Certified,Dealership,69604,14742
259,2002,Audi,A6,N/A,35511,22813,Used,Individual Seller,74610,
260,2018,Mazda,MX5,sport,25871,14841,Certified,Dealership,74389,25365
261,1998,Nissan,Murano,N/A,55930,17501,Used,Individual Seller,87337,34599
262,1998,Volkswagen,Golf,N/A,39057,12704,Used,Dealership,97248,22733
263,2006,Acura,TL,luxury,59540,14564,Used,Dealership,49606,29858
264,1996,Acura,TL,N/A,40170,17961,Used,Individual Seller,38688,12263
265,2022,Mercedes,E-Class,base,55,21433,New,Dealership,74646,27235
266,2010,Mazda,CX-90,base,120770,12738,Used,Individual Seller,73627,13488
267,2007,Buick,LaCrosse,luxury,91616,18955,Used,Dealership,98106,6727
268,2023,Chevrolet,Silverado,base,69,26658,New,Dealership,89384,48574
269,2001,Lincoln,Navigator,N/A,21761,30918,Used,Dealership,14624,22814
270,2014,Chevrolet,Malibu,base,98719,8986,Used,Dealership,27936,
271,2007,Jeep,Grand Cherokee,base,131365,11626,Used,Individual Seller,24658,26880
272,2000,Nissan,Murano,N/A,84828,19206,Used,Dealership,78320,5525
273,2008,Kia,Rio,base,56235,28352,Used,Dealership,14061,19907
274,2021,Mazda,CX-5,sport,20424,24365,Certified,Dealership,89486,15591
275,2017,Ford,Fiesta,luxury,143299,13581,Used,Dealership,37625,16471
276,2008,Subaru,Forester,sport,80904,10395,Used,Individual Seller,27063,16190
277,1998,BMW,5 Series,N/A,97713,15760,Used,Dealership,85832,19670
278,2017,GMC,Sierra,base,119095,11471,Used,Dealership,61461,29974
279,2016,Lincoln,Navigator,base,72956,22672,Used,Dealership,19144,25124
280,2015,BMW,5 Series,sport,132897,14004,Used,Dealership,32138,7482
281,1997,Kia,Forte,N/A,147865,5771,Used,Individual Seller,50303,12858
282,2003,Jeep,Wrangler,N/A,15329,31597,Used,Dealership,24630,10221
283,2019,Subaru,Forester,base,10354,28914,Certified,Dealership,32534,17906
284,2007,Audi,Q7,base,130296,12061,Used,Individual Seller,46081,10271
285,2019,Acura,TL,base,5788,18156,Certified,Dealership,51350,16540
286,1995,Lexus,GS,N/A,114131,11319,Used,Dealership,15847,24311
287,2020,Volvo,S70,base,27167,23934,Certified,Dealership,86850,22289
288,2013,Honda,Pilot,luxury,124344,19897,Used,Dealership,22762,10158
289,1999,Ford,Fiesta,N/A,140354,5802,Used,Dealership,67121,13601
290,2021,BMW,5 Series,base,24289,17092,Certified,Dealership,15598,11489
291,2017,Toyota,Camry,sport,102979,11469,Used,Individual Seller,14895,16911
292,2010,Acura,Integra,luxury,102117,18886,Used,Dealership,28731,10393
293,2018,Audi,A4,base,6252,31403,Certified,Dealership,50960,14936
294,1995,Nissan,Rogue,N/A,93289,9553,Used,Individual Seller,62460,6564
295,2000,Subaru,WRX,N/A,14512,26025,Used,Dealership,19986,10907
296,1995,Acura,Integra,N/A,119778,18073,Used,Dealership,43466,16674
297,2002,Volvo,S60,N/A,73873,7531,Used,Individual Seller,34884,11881
298,2014,Honda,Civic,base,21144,13389,Used,Individual Seller,36137,16460
299,2006,Lincoln,Navigator,base,52359,15842,Used,Individual Seller,91663,9041
300,1999,Nissan,Maxima,N/A,128997,6058,Used,Individual Seller,42675,7734
301,2006,Mazda,CX-50,luxury,94186,9455,Used,Dealership,34310,16626
302,2017,Mazda,3,base,139976,12183,Used,Individual Seller,97733,7256
303,1999,Volkswagen,Atlas,N/A,57118,14385,Used,Dealership,61636,13952
304,2009,Subaru,Forester,base,133703,12101,Used,Dealership,12290,16379
305,2014,Mercedes,GLE,sport,84449,9567,Used,Dealership,11457,11081
306,2004,Kia,K5,N/A,88127,11433,Used,Dealership,75056,14160
307,2015,Kia,Sorento,luxury,73182,10582,Used,Individual Seller,95201,12017
308,2017,Toyota,4Runner,base,86931,14715,Used,Individual Seller,53490,37888
309,2019,Ford,Fiesta,base,31080,17264,Certified,Dealership,93482,15155
310,2008,Toyota,RAV4,sport,110055,6641,Used,Individual Seller,78814,8935
311,1998,Lincoln,Navigator,N/A,112346,14557,Used,Individual Seller,86234,34579
312,2007,Chrysler,Town & Country,base,71053,27452,Used,Dealership,91065,6781
313,2003,Jeep,Wrangler,N/A,112057,15401,Used,Individual Seller,15586,10221
314,1998,BMW,X5,N/A,30226,16232,Used,Dealership,76881,14008
315,2015,Chevrolet,Silverado,luxury,19118,17863,Used,Dealership,10951,14975
316,2004,Ford,Focus,N/A,117498,17506,Used,Dealership,11640,14261
317,2016,Dodge,Grand Caravan,base,142524,17472,Used,Dealership,63693,19718
318,1996,BMW,X5,N/A,108581,19750,Used,Dealership,75585,12636
319,1997,Ford,Fiesta,N/A,85803,5419,Used,Dealership,69776,30275
320,1997,Nissan,Rogue,N/A,52883,33767,Used,Dealership,89975,22131
321,2020,Subaru,Outback,sport,7921,34954,Certified,Dealership,28953,33189
322,2006,Volvo,S60,base,68604,14350,Used,Individual Seller,41365,14655
323,1998,Volkswagen,Passat,N/A,112242,8353,Used,Individual Seller,67949,9204
324,2009,Chevrolet,Silverado,base,143011,8591,Used,Individual Seller,32248,10246
325,2000,Hyundai,Elantra,N/A,20918,30300,Used,Dealership,80996,11131
326,2019,Volvo,XC90,base,30417,24229,Certified,Dealership,29258,29223
327,2022,Audi,A3,sport,5,26855,New,Dealership,30386,46147
328,2007,Mercedes,S-Class,base,129350,14897,Used,Individual Seller,20383,31955
329,2011,Kia,Rio,base,30992,10327,Used,Individual Seller,20283,13339
330,2008,Nissan,Murano,base,14952,30059,Used,Individual Seller,70343,17820
331,2020,Buick,LaCrosse,luxury,24726,19716,Certified,Dealership,92897,19812
332,2011,Jeep,Grand Cherokee,sport,59009,15989,Used,Individual Seller,33743,15095
333,2009,Honda,CR-V,base,81844,5082,Used,Individual Seller,93968,25539
334,1995,Jeep,Grand Cherokee,N/A,77271,19423,Used,Dealership,16810,17997
335,2020,Dodge,Ram 1500,base,21031,13798,Certified,Dealership,98311,24512
336,1999,Volkswagen,Jetta,N/A,15680,23257,Used,Individual Seller,73229,10145
337,2012,Lexus,LS,base,134892,11884,Used,Dealership,43267,15627
338,2009,Audi,A3,sport,79019,19664,Used,Dealership,28313,15242
339,2013,Toyota,Camry,sport,71730,27437,Used,Individual Seller,77027,16145
340,2011,Toyota,Camry,base,63779,26133,Used,Dealership,11685,11334
341,1998,Mercedes,S-Class,N/A,103336,10751,Used,Dealership,10703,9197
342,2015,Jeep,Grand Cherokee,base,63156,16040,Used,Individual Seller,59198,12090
343,2018,Ford,Explorer,base,28772,10069,Certified,Dealership,87089,17699
344,2021,Hyundai,Sonata,sport,21322,11585,Certified,Dealership,98731,20834
345,2016,Hyundai,Sonata,base,95447,15668,Used,Individual Seller,85781,10928
346,1995,Jeep,Grand Cherokee,N/A,110673,13190,Used,Dealership,44342,17997
347,2023,Chevrolet,Suburban,base,12,40907,New,Dealership,44630,21278
348,2000,Chevrolet,Equinox,N/A,37585,16062,Used,Individual Seller,31077,12917
349,2007,Lincoln,Navigator,base,125871,8909,Used,Individual Seller,91737,5806
350,2000,Chevrolet,Impala,N/A,106880,15817,Used,Individual Seller,71727,16159
351,2017,BMW,3 Series,sport,105434,11685,Used,Individual Seller,58979,17817
352,2017,Chevrolet,Impala,base,68900,27338,Used,Individual Seller,87753,34639
353,2001,Lexus,RX,N/A,85421,8406,Used,Dealership,31030,14265
354,2009,GMC,Sierra,sport,15852,11037,Used,Individual Seller,28566,6828
355,2005,Nissan,Murano,N/A,126499,14210,Used,Individual Seller,98275,6260
356,2018,Mercedes,GLA,sport,22299,12701,Certified,Dealership,68343,23062
357,2006,Toyota,Land Cruiser,base,42856,30262,Used,Dealership,46144,5300
358,2005,Chevrolet,Impala,N/A,89911,19966,Used,Dealership,28744,10405
