Vehicle_ID,Year,Make,Model,Trim,Miles,Sale Price,Status,Mode of Purchase,Zip Code
54,2020,Dodge,Charger,luxury,13922,27948,Certified,Dealership,51030
55,2016,Dodge,Charger,base,123250,6703,Used,Dealership,99014
56,2005,Chevrolet,Equinox,N/A,98591,8575,Used,Dealership,64504
57,2022,Volvo,S60,base,73,29394,New,Dealership,27304
58,2001,Lincoln,Navigator,N/A,36275,20762,Used,Individual Seller,26654
59,2017,Lincoln,Navigator,sport,94564,17409,Used,Individual Seller,18355
60,1995,Volvo,S70,N/A,32222,31567,Used,Dealership,59503
61,2006,Kia,Sorento,base,11149,28317,Used,Dealership,37272
62,2012,Acura,TL,base,121845,18842,Used,Dealership,96682
63,2022,Lexus,ES,sport,75,34782,New,Dealership,54210
64,2006,Toyota,4Runner,sport,82771,18047,Used,Dealership,59820
65,2007,Jeep,Grand Cherokee,sport,59993,22394,Used,Dealership,28810
66,2002,Subaru,Forester,N/A,39813,31031,Used,Dealership,71843
67,2002,Ford,Explorer,N/A,117610,11953,Used,Individual Seller,93175
68,2019,Lincoln,Navigator,base,18645,30583,Certified,Dealership,90708
69,2018,Hyundai,Sonata,base,12152,24099,Certified,Dealership,96182
70,2021,Hyundai,Tucson,luxury,23913,10115,Certified,Dealership,98158
71,2018,Chrysler,Town & Country,base,23117,13444,Certified,Dealership,62113
72,2004,GMC,Envoy,N/A,96569,5593,Used,Dealership,50945
73,2018,Kia,Sorento,base,16058,17238,Certified,Dealership,80264
74,2015,GMC,Envoy,base,134546,12594,Used,Dealership,72442
75,2014,Dodge,Grand Caravan,sport,85683,5215,Used,Dealership,46161
76,2014,Mazda,CX-90,luxury,139118,10644,Used,Individual Seller,40283
77,2020,Lincoln,Navigator,base,14119,27875,Certified,Dealership,37316
78,2012,Buick,LaCrosse,sport,111095,15917,Used,Dealership,24980
79,2015,Acura,Integra,base,18168,18381,Used,Individual Seller,86792
80,2014,Subaru,Forester,luxury,71867,10704,Used,Individual Seller,55069
81,2010,Acura,Integra,base,34698,24077,Used,Individual Seller,22335
82,2006,Jeep,Grand Cherokee,sport,40404,15023,Used,Dealership,50128
83,2020,Hyundai,Santa Fe,luxury,28041,23946,Certified,Dealership,10639
84,1997,Ford,Ranger,N/A,121962,16117,Used,Dealership,38436
85,1999,Jeep,Wrangler,N/A,27077,38643,Used,Dealership,44002
86,2012,Toyota,Avalon,sport,57475,13461,Used,Dealership,17246
87,2010,Lexus,RX,base,41256,27744,Used,Dealership,21534
88,2017,Mercedes,S-Class,base,39211,24681,Used,Individual Seller,37067
89,1995,Toyota,4Runner,N/A,40461,11359,Used,Individual Seller,67414
90,2016,Volkswagen,Golf,luxury,78198,13620,Used,Dealership,11878
91,2020,BMW,3 Series,sport,18031,22736,Certified,Dealership,60626
92,2012,Toyota,Land Cruiser,luxury,17287,12716,Used,Dealership,20135
93,2000,Volvo,S60,N/A,60569,12021,Used,Dealership,57943
94,2002,Chrysler,300,N/A,83486,10005,Used,Dealership,70675
95,2012,Ford,Fiesta,sport,26458,38731,Used,Dealership,35870
96,2015,Dodge,Ram 1500,base,44388,10939,Used,Individual Seller,21434
97,1998,Lincoln,Navigator,N/A,51508,29521,Used,Dealership,62968
98,2019,Toyota,4Runner,sport,24629,21225,Certified,Dealership,61428
99,2011,Dodge,Charger,base,66783,20922,Used,Individual Seller,79574
100,2003,Dodge,Ram 1500,N/A,33768,25912,Used,Dealership,86663
101,2007,Acura,Integra,base,82272,14721,Used,Individual Seller,32492
102,2016,Chrysler,Town & Country,sport,34281,25740,Used,Dealership,43898
103,2021,Chrysler,300,sport,27399,11017,Certified,Dealership,99787
104,1997,Volvo,XC90,N/A,72726,15587,Used,Dealership,39011
105,2009,Buick,LaCrosse,base,12649,18306,Used,Individual Seller,72692
106,1998,Volvo,S70,N/A,36065,30875,Used,Dealership,35914
107,2001,Ford,Explorer,N/A,86086,5738,Used,Dealership,95876
108,2015,Mercedes,S-Class,base,82924,16587,Used,Individual Seller,75566
109,1999,Volkswagen,Golf,N/A,31846,16396,Used,Dealership,81057
110,2021,Hyundai,Elantra,base,9232,24868,Certified,Dealership,89822
111,2012,Lexus,LS,base,19846,17657,Used,Individual Seller,80110
112,2015,Chevrolet,Suburban,base,37277,8925,Used,Individual Seller,29854
113,2003,Volvo,S60,N/A,129870,11524,Used,Individual Seller,46812
114,2019,Jeep,Grand Cherokee,base,18131,26185,Certified,Dealership,34373
115,2021,GMC,Yukon,sport,19180,24671,Certified,Dealership,60472
116,1995,Lexus,GS350,N/A,56109,12628,Used,Dealership,62260
117,2020,Buick,Regal,sport,30006,15353,Certified,Dealership,67521
118,2010,Acura,TL,base,23382,9710,Used,Individual Seller,48274
119,2016,Toyota,RAV4,sport,19477,13914,Used,Individual Seller,28748
120,1999,Nissan,Maxima,N/A,118868,14908,Used,Dealership,67526
121,1998,Lincoln,Navigator,N/A,28897,17804,Used,Dealership,21702
122,2007,Acura,TL,base,96153,8533,Used,Dealership,79745
123,2002,Lexus,GS350,N/A,142301,9093,Used,Dealership,46524
124,2016,Kia,Rio,base,10290,12039,Used,Individual Seller,43088
125,2020,Audi,Q5,base,26394,10585,Certified,Dealership,13411
126,2022,BMW,5 Series,luxury,60,33792,New,Dealership,15232
127,2000,Chevrolet,Suburban,N/A,109416,8543,Used,Individual Seller,69120
128,2019,Kia,Forte,sport,34328,10773,Certified,Dealership,64333
129,2019,Dodge,Durango,sport,14522,34422,Certified,Dealership,54211
130,2014,Mazda,MX5,luxury,30000,31420,Used,Dealership,90650
131,2005,Chrysler,Town & Country,N/A,112349,19741,Used,Dealership,50844
132,2002,BMW,5 Series,N/A,83239,18150,Used,Dealership,85233
133,2014,Nissan,Rogue,base,102063,12940,Used,Dealership,54071
134,2014,Kia,Sorento,luxury,108864,7410,Used,Individual Seller,58229
135,2020,Lincoln,Navigator,sport,32111,18574,Certified,Dealership,10691
136,2010,Kia,Sorento,base,35284,9753,Used,Individual Seller,87297
137,2004,Jeep,Grand Cherokee,N/A,62636,17204,Used,Dealership,44083
138,2021,Mercedes,C-Class,sport,5710,26583,Certified,Dealership,86513
139,2001,Hyundai,Tucson,N/A,38409,31131,Used,Dealership,11258
140,2010,Dodge,Charger,luxury,107596,9706,Used,Individual Seller,81818
141,2001,Kia,Sorento,N/A,106914,6292,Used,Individual Seller,36987
142,2008,Kia,Sorento,base,117581,7185,Used,Dealership,59445
143,1998,Kia,Forte,N/A,93305,15692,Used,Individual Seller,24305
144,2001,GMC,Envoy,N/A,24605,36420,Used,Dealership,18975
145,2003,Ford,Taurus,N/A,68994,12039,Used,Individual Seller,12427
146,2014,Mercedes,GLE,sport,60528,27863,Used,Dealership,97191
147,2017,Acura,TL,base,13102,27927,Used,Dealership,41158
148,1996,Volvo,XC90,N/A,15362,22676,Used,Individual Seller,29752
149,2001,Chevrolet,Impala,N/A,130667,5747,Used,Dealership,31224
150,2006,Lincoln,Navigator,sport,42462,22442,Used,Dealership,66478
151,1999,Buick,Regal,N/A,52853,21902,Used,Individual Seller,21193
152,2012,Buick,LaCrosse,base,25061,23740,Used,Individual Seller,18420
153,2018,Volvo,XC90,sport,32187,18461,Certified,Dealership,62311
154,2001,Jeep,Grand Cherokee,N/A,54029,15652,Used,Dealership,91430
155,1996,Volvo,S60,N/A,67800,21484,Used,Dealership,15368
156,2003,Honda,Pilot,N/A,121305,14269,Used,Dealership,67709
157,2001,Mazda,MX5,N/A,133880,5126,Used,Dealership,94628
158,2000,Buick,LaCrosse,N/A,52104,15805,Used,Individual Seller,43918
159,2022,Mazda,CX-5,base,81,36326,New,Dealership,67691
160,2016,Lexus,GS,base,137033,16905,Used,Dealership,22425
161,2014,Nissan,Rogue,base,87608,5686,Used,Dealership,96765
162,1998,Dodge,Grand Caravan,N/A,49640,19355,Used,Dealership,40127
163,2003,Lincoln,Navigator,N/A,13367,24603,Used,Individual Seller,13614
164,2005,BMW,X3,N/A,133547,14067,Used,Dealership,80594
165,1996,Kia,K5,N/A,138259,7034,Used,Individual Seller,86042
166,2021,Toyota,Camry,base,32948,14649,Certified,Dealership,26020
167,1998,Lexus,GS,N/A,44948,22600,Used,Dealership,20421
168,1995,Audi,Q5,N/A,138582,10801,Used,Individual Seller,25110
169,2002,Dodge,Grand Caravan,N/A,44592,25465,Used,Individual Seller,28421
170,2016,Volkswagen,Jetta,luxury,21486,7905,Used,Individual Seller,70243
171,2022,Lincoln,Navigator,base,65,47282,New,Dealership,35906
172,2021,Dodge,Ram 1500,sport,31230,13623,Certified,Dealership,29285
173,2018,Buick,LaCrosse,base,7751,16718,Certified,Dealership,71447
174,2008,Buick,LaCrosse,base,81492,8377,Used,Dealership,53142
175,2009,GMC,Yukon,sport,20262,27125,Used,Individual Seller,44245
176,2012,Subaru,WRX,sport,61562,15260,Used,Dealership,80802
177,2003,Nissan,Murano,N/A,52760,25004,Used,Dealership,63888
178,2010,Volkswagen,Atlas,base,28066,35998,Used,Dealership,51245
179,1999,Volvo,XC90,N/A,129605,6307,Used,Individual Seller,27222
180,2021,Honda,CR-V,base,9735,15002,Certified,Dealership,53114
181,2005,Dodge,Charger,N/A,35776,13882,Used,Individual Seller,14120
182,2018,Jeep,Grand Cherokee,sport,5871,33772,Certified,Dealership,27004
183,2010,Toyota,4Runner,sport,137893,14533,Used,Dealership,34984
184,2000,GMC,Yukon,N/A,55049,22956,Used,Individual Seller,57511
185,2009,Lexus,ES,base,17061,15308,Used,Individual Seller,63209
186,2018,Hyundai,Sonata,base,6617,24191,Certified,Dealership,17922
187,1995,Toyota,Tacoma,N/A,61028,23832,Used,Dealership,45836
188,1997,Subaru,WRX,N/A,81407,12632,Used,Dealership,19478
189,2016,Volvo,S70,base,20224,10963,Used,Individual Seller,10377
190,2005,GMC,Envoy,N/A,77024,7356,Used,Individual Seller,91928
191,2004,BMW,X5,N/A,94069,16054,Used,Individual Seller,14537
192,1997,Jeep,Wrangler,N/A,28541,14661,Used,Individual Seller,54452
193,2022,Volvo,XC90,base,33,20568,New,Dealership,15042
194,1998,Ford,Escape,N/A,148931,12652,Used,Individual Seller,60872
195,2007,BMW,X5,base,74649,9941,Used,Individual Seller,63612
196,2013,Volvo,XC90,sport,71396,14951,Used,Individual Seller,29418
197,2006,Acura,TL,luxury,95763,11931,Used,Dealership,76507
198,2007,Chrysler,Town & Country,base,87575,6497,Used,Dealership,25611
199,2015,Chrysler,Town & Country,base,107737,16793,Used,Individual Seller,86465
200,2019,Honda,Accord,sport,6860,26525,Certified,Dealership,53889
201,2012,Mercedes,E-Class,base,101446,7313,Used,Dealership,68140
202,2021,Chevrolet,Impala,base,12386,24457,Certified,Dealership,67811
203,1996,Volkswagen,Passat,N/A,135609,5953,Used,Individual Seller,53290
204,2011,Audi,A6,base,94355,15082,Used,Individual Seller,90109
205,2011,Chevrolet,Equinox,base,64907,24178,Used,Individual Seller,40529
206,2010,Volkswagen,Tiguan,sport,116913,12921,Used,Individual Seller,29079
207,1999,Mercedes,S-Class,N/A,41960,13457,Used,Individual Seller,70697
208,2020,Nissan,Altima,base,31443,18187,Certified,Dealership,77574
209,2004,BMW,X5,N/A,69012,29498,Used,Dealership,97000
210,2022,Lincoln,Navigator,sport,51,27873,New,Dealership,69142
211,2000,Acura,TL,N/A,12896,23863,Used,Individual Seller,96830
212,1999,Honda,CR-V,N/A,12081,37446,Used,Dealership,41258
213,1998,BMW,3 Series,N/A,138588,10143,Used,Dealership,66692
214,2019,Audi,A4,base,29706,24110,Certified,Dealership,36552
215,2011,Buick,Regal,base,11305,24971,Used,Dealership,22709
216,2008,Mazda,MX5,base,25019,17406,Used,Dealership,25684
217,2012,Honda,Accord,base,132125,9795,Used,Individual Seller,52165
218,1995,Mazda,MX5,N/A,118586,17384,Used,Individual Seller,90361
219,2018,Lincoln,Navigator,base,17703,22603,Certified,Dealership,40582
220,2014,Audi,A3,sport,56217,10481,Used,Dealership,64229
221,2017,Mazda,3,luxury,84425,12055,Used,Dealership,65120
222,2020,Subaru,Forester,base,13122,30392,Certified,Dealership,61199
223,2013,Subaru,Forester,sport,51168,26908,Used,Individual Seller,94009
224,2020,Dodge,Grand Caravan,base,28002,11815,Certified,Dealership,94847
225,2008,Volkswagen,Golf,sport,122620,9704,Used,Individual Seller,16374
226,1997,Jeep,Grand Cherokee,N/A,74964,12865,Used,Individual Seller,75875
227,2005,Nissan,Murano,N/A,34770,24603,Used,Individual Seller,40096
228,1999,Dodge,Charger,N/A,87125,11642,Used,Dealership,54458
229,2023,Dodge,Grand Caravan,base,35,27350,New,Dealership,22731
230,1997,Mercedes,S-Class,N/A,114473,18886,Used,Dealership,51198
231,1996,GMC,Yukon,N/A,16678,19494,Used,Dealership,52819
232,2002,Lincoln,Navigator,N/A,116485,13046,Used,Dealership,46757
233,2009,Acura,Integra,base,25516,20101,Used,Dealership,94674
234,2004,Nissan,Maxima,N/A,92302,13191,Used,Dealership,95351
235,2006,Kia,Rio,base,19555,22595,Used,Individual Seller,74749
236,1998,Subaru,WRX,N/A,47840,13854,Used,Individual Seller,26067
237,2003,Toyota,Highlander,N/A,140433,17163,Used,Dealership,64328
238,2012,Jeep,Wrangler,base,79100,8989,Used,Individual Seller,79515
239,1997,Subaru,WRX,N/A,83696,18860,Used,Dealership,35068
240,2000,Lexus,RX,N/A,48851,15954,Used,Individual Seller,81064
241,2007,Nissan,Frontier,sport,33437,19364,Used,Dealership,69709
242,2010,Chrysler,Town & Country,sport,10925,32572,Used,Dealership,77220
243,2020,Subaru,Forester,base,33639,24892,Certified,Dealership,44505
244,2019,Volkswagen,Jetta,sport,5472,28920,Certified,Dealership,70884
245,2022,Volkswagen,Atlas,base,71,29513,New,Dealership,78591
246,2002,Dodge,Ram 1500,N/A,90913,15564,Used,Individual Seller,74487
247,2021,Jeep,Grand Cherokee,sport,32919,18367,Certified,Dealership,78859
248,1998,Toyota,RAV4,N/A,90056,18043,Used,Dealership,52807
249,2001,Acura,Integra,N/A,108607,14622,Used,Individual Seller,77179
250,1999,Ford,Focus,N/A,107855,5036,Used,Dealership,67418
251,2003,Dodge,Durango,N/A,91794,6719,Used,Individual Seller,47412
252,2018,Chevrolet,Equinox,base,25982,22984,Certified,Dealership,90506
253,1995,Volkswagen,Golf,N/A,18434,21206,Used,Dealership,62440
254,2007,Honda,HR-V,luxury,22365,33049,Used,Dealership,42285
255,2004,Honda,Civic,N/A,84017,7791,Used,Individual Seller,69944
256,2016,Toyota,RAV4,sport,104098,15896,Used,Individual Seller,81903
257,2013,Lincoln,Navigator,base,61511,32474,Used,Dealership,32408
258,2018,Acura,Integra,sport,8794,15813,Certified,Dealership,69604
259,2002,Audi,A6,N/A,35511,22813,Used,Individual Seller,74610
260,2018,Mazda,MX5,sport,25871,14841,Certified,Dealership,74389
261,1998,Nissan,Murano,N/A,55930,17501,Used,Individual Seller,87337
262,1998,Volkswagen,Golf,N/A,39057,12704,Used,Dealership,97248
263,2006,Acura,TL,luxury,59540,14564,Used,Dealership,49606
264,1996,Acura,TL,N/A,40170,17961,Used,Individual Seller,38688
265,2022,Mercedes,E-Class,base,55,21433,New,Dealership,74646
266,2010,Mazda,CX-90,base,120770,12738,Used,Individual Seller,73627
267,2007,Buick,LaCrosse,luxury,91616,18955,Used,Dealership,98106
268,2023,Chevrolet,Silverado,base,69,26658,New,Dealership,89384
269,2001,Lincoln,Navigator,N/A,21761,30918,Used,Dealership,14624
270,2014,Chevrolet,Malibu,base,98719,8986,Used,Dealership,27936
271,2007,Jeep,Grand Cherokee,base,131365,11626,Used,Individual Seller,24658
272,2000,Nissan,Murano,N/A,84828,19206,Used,Dealership,78320
273,2008,Kia,Rio,base,56235,28352,Used,Dealership,14061
274,2021,Mazda,CX-5,sport,20424,24365,Certified,Dealership,89486
275,2017,Ford,Fiesta,luxury,143299,13581,Used,Dealership,37625
276,2008,Subaru,Forester,sport,80904,10395,Used,Individual Seller,27063
277,1998,BMW,5 Series,N/A,97713,15760,Used,Dealership,85832
278,2017,GMC,Sierra,base,119095,11471,Used,Dealership,61461
279,2016,Lincoln,Navigator,base,72956,22672,Used,Dealership,19144
280,2015,BMW,5 Series,sport,132897,14004,Used,Dealership,32138
281,1997,Kia,Forte,N/A,147865,5771,Used,Individual Seller,50303
282,2003,Jeep,Wrangler,N/A,15329,31597,Used,Dealership,24630
283,2019,Subaru,Forester,base,10354,28914,Certified,Dealership,32534
284,2007,Audi,Q7,base,130296,12061,Used,Individual Seller,46081
285,2019,Acura,TL,base,5788,18156,Certified,Dealership,51350
286,1995,Lexus,GS,N/A,114131,11319,Used,Dealership,15847
287,2020,Volvo,S70,base,27167,23934,Certified,Dealership,86850
288,2013,Honda,Pilot,luxury,124344,19897,Used,Dealership,22762
289,1999,Ford,Fiesta,N/A,140354,5802,Used,Dealership,67121
290,2021,BMW,5 Series,base,24289,17092,Certified,Dealership,15598
291,2017,Toyota,Camry,sport,102979,11469,Used,Individual Seller,14895
292,2010,Acura,Integra,luxury,102117,18886,Used,Dealership,28731
293,2018,Audi,A4,base,6252,31403,Certified,Dealership,50960
294,1995,Nissan,Rogue,N/A,93289,9553,Used,Individual Seller,62460
295,2000,Subaru,WRX,N/A,14512,26025,Used,Dealership,19986
296,1995,Acura,Integra,N/A,119778,18073,Used,Dealership,43466
297,2002,Volvo,S60,N/A,73873,7531,Used,Individual Seller,34884
298,2014,Honda,Civic,base,21144,13389,Used,Individual Seller,36137
299,2006,Lincoln,Navigator,base,52359,15842,Used,Individual Seller,91663
300,1999,Nissan,Maxima,N/A,128997,6058,Used,Individual Seller,42675
301,2006,Mazda,CX-50,luxury,94186,9455,Used,Dealership,34310
302,2017,Mazda,3,base,139976,12183,Used,Individual Seller,97733
303,1999,Volkswagen,Atlas,N/A,57118,14385,Used,Dealership,61636
304,2009,Subaru,Forester,base,133703,12101,Used,Dealership,12290
305,2014,Mercedes,GLE,sport,84449,9567,Used,Dealership,11457
306,2004,Kia,K5,N/A,88127,11433,Used,Dealership,75056
307,2015,Kia,Sorento,luxury,73182,10582,Used,Individual Seller,95201
308,2017,Toyota,4Runner,base,86931,14715,Used,Individual Seller,53490
309,2019,Ford,Fiesta,base,31080,17264,Certified,Dealership,93482
310,2008,Toyota,RAV4,sport,110055,6641,Used,Individual Seller,78814
311,1998,Lincoln,Navigator,N/A,112346,14557,Used,Individual Seller,86234
312,2007,Chrysler,Town & Country,base,71053,27452,Used,Dealership,91065
313,2003,Jeep,Wrangler,N/A,112057,15401,Used,Individual Seller,15586
314,1998,BMW,X5,N/A,30226,16232,Used,Dealership,76881
315,2015,Chevrolet,Silverado,luxury,19118,17863,Used,Dealership,10951
316,2004,Ford,Focus,N/A,117498,17506,Used,Dealership,11640
317,2016,Dodge,Grand Caravan,base,142524,17472,Used,Dealership,63693
318,1996,BMW,X5,N/A,108581,19750,Used,Dealership,75585
319,1997,Ford,Fiesta,N/A,85803,5419,Used,Dealership,69776
320,1997,Nissan,Rogue,N/A,52883,33767,Used,Dealership,89975
321,2020,Subaru,Outback,sport,7921,34954,Certified,Dealership,28953
322,2006,Volvo,S60,base,68604,14350,Used,Individual Seller,41365
323,1998,Volkswagen,Passat,N/A,112242,8353,Used,Individual Seller,67949
324,2009,Chevrolet,Silverado,base,143011,8591,Used,Individual Seller,32248
325,2000,Hyundai,Elantra,N/A,20918,30300,Used,Dealership,80996
326,2019,Volvo,XC90,base,30417,24229,Certified,Dealership,29258
327,2022,Audi,A3,sport,5,26855,New,Dealership,30386
328,2007,Mercedes,S-Class,base,129350,14897,Used,Individual Seller,20383
329,2011,Kia,Rio,base,30992,10327,Used,Individual Seller,20283
330,2008,Nissan,Murano,base,14952,30059,Used,Individual Seller,70343
331,2020,Buick,LaCrosse,luxury,24726,19716,Certified,Dealership,92897
332,2011,Jeep,Grand Cherokee,sport,59009,15989,Used,Individual Seller,33743
333,2009,Honda,CR-V,base,81844,5082,Used,Individual Seller,93968
334,1995,Jeep,Grand Cherokee,N/A,77271,19423,Used,Dealership,16810
335,2020,Dodge,Ram 1500,base,21031,13798,Certified,Dealership,98311
336,1999,Volkswagen,Jetta,N/A,15680,23257,Used,Individual Seller,73229
337,2012,Lexus,LS,base,134892,11884,Used,Dealership,43267
338,2009,Audi,A3,sport,79019,19664,Used,Dealership,28313
339,2013,Toyota,Camry,sport,71730,27437,Used,Individual Seller,77027
340,2011,Toyota,Camry,base,63779,26133,Used,Dealership,11685
341,1998,Mercedes,S-Class,N/A,103336,10751,Used,Dealership,10703
342,2015,Jeep,Grand Cherokee,base,63156,16040,Used,Individual Seller,59198
343,2018,Ford,Explorer,base,28772,10069,Certified,Dealership,87089
344,2021,Hyundai,Sonata,sport,21322,11585,Certified,Dealership,98731
345,2016,Hyundai,Sonata,base,95447,15668,Used,Individual Seller,85781
346,1995,Jeep,Grand Cherokee,N/A,110673,13190,Used,Dealership,44342
347,2023,Chevrolet,Suburban,base,12,40907,New,Dealership,44630
348,2000,Chevrolet,Equinox,N/A,37585,16062,Used,Individual Seller,31077
349,2007,Lincoln,Navigator,base,125871,8909,Used,Individual Seller,91737
350,2000,Chevrolet,Impala,N/A,106880,15817,Used,Individual Seller,71727
351,2017,BMW,3 Series,sport,105434,11685,Used,Individual Seller,58979
352,2017,Chevrolet,Impala,base,68900,27338,Used,Individual Seller,87753
353,2001,Lexus,RX,N/A,85421,8406,Used,Dealership,31030
354,2009,GMC,Sierra,sport,15852,11037,Used,Individual Seller,28566
355,2005,Nissan,Murano,N/A,126499,14210,Used,Individual Seller,98275
356,2018,Mercedes,GLA,sport,22299,12701,Certified,Dealership,68343
357,2006,Toyota,Land Cruiser,base,42856,30262,Used,Dealership,46144
358,2005,Chevrolet,Impala,N/A,89911,19966,Used,Dealership,28744
359,2017,Buick,LaCrosse,luxury,107077,5988,Used,Dealership,19045
360,2016,Honda,Accord,base,42856,13301,Used,Dealership,46094
361,1997,Acura,Integra,N/A,71635,17838,Used,Dealership,45220
362,1999,Chevrolet,Tahoe,N/A,87166,16898,Used,Individual Seller,99493
363,2019,Subaru,Forester,sport,28501,23516,Certified,Dealership,67900
364,2000,Lincoln,Navigator,N/A,120279,17021,Used,Individual Seller,57699
365,2000,Mercedes,C-Class,N/A,46856,7974,Used,Individual Seller,94164
366,2003,Acura,Integra,N/A,108246,12741,Used,Individual Seller,70751
367,2007,Buick,LaCrosse,base,57037,12784,Used,Dealership,23374
368,2021,Kia,Rio,luxury,26566,14946,Certified,Dealership,10647
369,2006,Jeep,Wrangler,sport,105713,6580,Used,Dealership,27772
370,2004,Subaru,Forester,N/A,91551,8869,Used,Individual Seller,20406
371,2006,BMW,3 Series,sport,44085,18661,Used,Individual Seller,66838
372,2012,Hyundai,Santa Fe,base,62708,19525,Used,Individual Seller,58321
373,2016,Jeep,Wrangler,base,115040,5447,Used,Dealership,50140
374,2003,Jeep,Grand Cherokee,N/A,50124,18025,Used,Individual Seller,37335
375,2018,Mercedes,S-Class,sport,22822,20997,Certified,Dealership,64014
376,2017,Buick,LaCrosse,sport,128340,10811,Used,Individual Seller,89428
377,2004,Mercedes,GLA,N/A,132145,12708,Used,Individual Seller,74289
378,2009,Volkswagen,Jetta,sport,66260,25764,Used,Dealership,81959
379,2020,Lincoln,Navigator,base,34564,11293,Certified,Dealership,29710
380,2021,Dodge,Durango,base,26887,12805,Certified,Dealership,92182
381,2023,Chrysler,Town & Country,base,63,20050,New,Dealership,11011
382,2012,Lexus,GS350,base,129794,7146,Used,Individual Seller,37129
383,2017,BMW,X3,luxury,101071,11747,Used,Individual Seller,40779
384,2012,Lincoln,Navigator,sport,65677,25888,Used,Individual Seller,78264
385,2021,Jeep,Wrangler,luxury,11959,24547,Certified,Dealership,41212
386,2015,Lexus,LS,sport,114811,11757,Used,Individual Seller,85569
387,2013,Lincoln,Navigator,luxury,95812,6646,Used,Dealership,15215
388,2013,Mercedes,C-Class,base,97520,18820,Used,Dealership,73499
