Vehicle_ID,Year,Make,Model,Trim,Miles,Sold For,Status,Sold By,Zip Code Sold
80,2009,Jeep,Wrangler,base,51149,15690,Used,Dealership,29584
81,2012,Volkswagen,Atlas,sport,131879,15550,Used,Individual Seller,59639
82,1997,Lincoln,Navigator,N/A,121862,16575,Used,Individual Seller,44603
83,2005,Mazda,CX-50,N/A,13728,28987,Used,Individual Seller,86627
84,2008,Kia,Rio,base,20337,31346,Used,Individual Seller,91114
85,2022,Chevrolet,Suburban,base,19,26602,New,Dealership,33090
86,1995,Acura,Integra,N/A,14591,22721,Used,Individual Seller,55239
87,2007,Dodge,Grand Caravan,sport,125031,17032,Used,Dealership,37915
88,1996,Hyundai,Tucson,N/A,65852,21623,Used,Individual Seller,98045
89,2005,Kia,K5,N/A,57734,16199,Used,Individual Seller,99105
90,2018,Chrysler,Town & Country,luxury,12838,26559,Certified,Dealership,40663
91,2001,Mercedes,GLA,N/A,95074,11224,Used,Dealership,30006
92,1997,Kia,K5,N/A,137215,8935,Used,Individual Seller,88380
93,2012,Chevrolet,Suburban,base,112486,16219,Used,Dealership,13771
94,2010,Buick,Regal,luxury,47574,12720,Used,Individual Seller,67026
95,2004,Kia,Sorento,N/A,147966,6268,Used,Individual Seller,45360
96,2015,Dodge,Grand Caravan,luxury,133499,5790,Used,Dealership,40075
97,1996,Acura,Integra,N/A,65123,12517,Used,Dealership,78457
98,2007,Jeep,Grand Cherokee,base,67311,7799,Used,Individual Seller,86208
99,2004,Mazda,CX-90,N/A,117417,14762,Used,Individual Seller,75320
100,2015,Kia,Rio,base,71326,14032,Used,Individual Seller,38071
101,2021,GMC,Envoy,base,7517,27215,Certified,Dealership,46908
102,2009,Volkswagen,Jetta,base,38698,12639,Used,Dealership,61994
103,2013,Chevrolet,Equinox,sport,11958,15770,Used,Individual Seller,40309
104,2010,Chrysler,Town & Country,base,121212,11436,Used,Dealership,92636
105,2011,Audi,A4,sport,33030,15455,Used,Dealership,32021
106,2009,Chrysler,Town & Country,base,20715,36685,Used,Dealership,49260
107,2001,Mazda,3,N/A,129538,8825,Used,Individual Seller,86465
108,2013,Mercedes,GLA,luxury,87656,6554,Used,Individual Seller,71781
109,2018,Volvo,S60,luxury,30695,14407,Certified,Dealership,34384
110,2000,Dodge,Grand Caravan,N/A,127891,16171,Used,Dealership,92354
111,2008,Chrysler,Town & Country,sport,116262,8123,Used,Dealership,35643
112,2022,Volvo,S60,base,7,41702,New,Dealership,56248
113,1998,Jeep,Grand Cherokee,N/A,132682,18660,Used,Dealership,69199
114,2019,Mazda,CX-50,base,19650,33348,Certified,Dealership,63244
115,1998,Chevrolet,Tahoe,N/A,98291,10337,Used,Individual Seller,10966
116,2018,GMC,Envoy,sport,22956,20083,Certified,Dealership,45767
117,2003,Honda,HR-V,N/A,108695,13065,Used,Dealership,13869
118,2004,Mercedes,C-Class,N/A,136837,9826,Used,Individual Seller,26252
119,2005,Nissan,Murano,N/A,92443,6014,Used,Individual Seller,84533
120,2007,GMC,Envoy,base,16672,19212,Used,Dealership,38265
121,2015,Volkswagen,Atlas,luxury,120151,5625,Used,Individual Seller,46286
122,2011,Nissan,Murano,base,24237,26832,Used,Individual Seller,55003
123,2022,Mercedes,GLE,sport,72,31565,New,Dealership,60053
124,2002,Kia,Sorento,N/A,137669,13880,Used,Dealership,37858
125,2021,Honda,CR-V,base,22232,12435,Certified,Dealership,86450
126,2017,Buick,Regal,base,149904,16364,Used,Dealership,84122
127,2017,Buick,LaCrosse,base,114859,8661,Used,Individual Seller,87545
128,2004,Chrysler,300,N/A,148461,12984,Used,Individual Seller,42839
129,2015,Volkswagen,Passat,luxury,98688,5702,Used,Individual Seller,67716
130,2000,Lexus,GS,N/A,47444,13972,Used,Individual Seller,70868
131,2011,Honda,Civic,sport,13802,17055,Used,Individual Seller,57040
132,1998,GMC,Envoy,N/A,25106,15921,Used,Individual Seller,57484
133,1999,Volvo,S70,N/A,83831,18013,Used,Dealership,69250
134,1999,Mercedes,GLA,N/A,112294,7037,Used,Individual Seller,76733
135,2010,Acura,TL,base,73397,22545,Used,Individual Seller,44351
136,2007,Subaru,Forester,sport,98361,8502,Used,Dealership,42924
137,2017,Mercedes,E-Class,luxury,40552,27531,Used,Dealership,29874
138,2015,Honda,Accord,base,97996,14002,Used,Dealership,54694
139,2018,Lexus,ES,sport,18391,34074,Certified,Dealership,42587
140,2016,Buick,LaCrosse,sport,92312,16688,Used,Dealership,79011
141,2015,Mercedes,GLA,sport,37565,23916,Used,Individual Seller,72742
142,2005,Toyota,Camry,N/A,113500,8674,Used,Individual Seller,42261
143,2023,Volvo,S70,luxury,86,36824,New,Dealership,79596
144,2001,Chrysler,300,N/A,26131,22245,Used,Dealership,16072
145,2003,Hyundai,Elantra,N/A,71535,32031,Used,Dealership,33851
146,2016,Toyota,Land Cruiser,sport,18178,25777,Used,Individual Seller,27188
147,2013,Volvo,S70,luxury,23408,10041,Used,Individual Seller,50736
148,1996,Chrysler,Town & Country,N/A,90985,5805,Used,Individual Seller,97537
149,2003,Chevrolet,Malibu,N/A,36669,27340,Used,Individual Seller,62196
150,2007,Audi,A4,sport,69012,13708,Used,Individual Seller,48759
151,2001,Toyota,RAV4,N/A,102421,16697,Used,Dealership,40296
152,2011,Chevrolet,Malibu,luxury,49005,10613,Used,Individual Seller,63306
153,2014,Lincoln,Navigator,sport,108783,7296,Used,Individual Seller,52246
154,2001,Toyota,Camry,N/A,118217,18093,Used,Dealership,98135
155,2021,Lincoln,Navigator,base,21486,14684,Certified,Dealership,15926
156,1996,Toyota,Corolla,N/A,88124,14313,Used,Dealership,43264
157,2005,Audi,A3,N/A,100260,6088,Used,Individual Seller,69968
158,2009,Jeep,Grand Cherokee,base,116673,8893,Used,Dealership,19242
159,2015,GMC,Sierra,base,36720,11529,Used,Dealership,49228
160,1995,Hyundai,Sonata,N/A,56212,15124,Used,Individual Seller,92191
161,1995,Volkswagen,Passat,N/A,93732,12770,Used,Dealership,69877
162,2007,Volvo,S60,base,26640,39570,Used,Dealership,42172
163,2018,Lexus,ES,sport,5235,30715,Certified,Dealership,31987
164,1996,Acura,Integra,N/A,100790,8803,Used,Individual Seller,92324
165,2017,Audi,A4,base,110764,16394,Used,Dealership,61247
166,2005,Subaru,Outback,N/A,123033,9575,Used,Individual Seller,83135
167,2008,Mercedes,GLE,base,105002,11946,Used,Individual Seller,21455
168,2014,Acura,TL,base,77316,17307,Used,Dealership,82410
169,2015,Acura,TL,base,60017,19659,Used,Individual Seller,76882
170,2009,Lexus,LS,base,119153,6703,Used,Dealership,26516
171,2009,Hyundai,Elantra,sport,27994,33940,Used,Dealership,29758
172,2022,Lexus,GS,luxury,73,43939,New,Dealership,66229
173,1999,Chrysler,300,N/A,110289,12714,Used,Individual Seller,18594
174,2001,Chrysler,Town & Country,N/A,79131,5765,Used,Individual Seller,47218
175,2001,Lincoln,Navigator,N/A,61669,18921,Used,Dealership,35184
176,2014,Volkswagen,Passat,sport,54691,24852,Used,Individual Seller,67317
177,2019,Nissan,Pathfinder,base,22995,10654,Certified,Dealership,71763
178,2013,Ford,Escape,luxury,79369,11713,Used,Individual Seller,73920
179,2006,Mercedes,E-Class,luxury,59628,20734,Used,Dealership,35263
180,1996,Honda,Accord,N/A,130913,5962,Used,Dealership,92582
181,2022,Honda,Accord,luxury,13,49059,New,Dealership,89839
182,2017,Dodge,Charger,luxury,70569,25583,Used,Dealership,66341
183,2006,Hyundai,Tucson,base,134139,11169,Used,Individual Seller,50826
184,1997,Volkswagen,Jetta,N/A,21967,25223,Used,Dealership,77746
185,2010,BMW,5 Series,luxury,131621,15908,Used,Individual Seller,51624
186,2015,Audi,A6,base,103807,12579,Used,Dealership,51316
187,2010,Lincoln,Navigator,sport,106693,6425,Used,Individual Seller,61384
188,2004,Acura,Integra,N/A,143548,17601,Used,Dealership,30385
189,2017,Ford,Escape,sport,116478,6638,Used,Individual Seller,48371
190,1996,Jeep,Wrangler,N/A,70729,26094,Used,Individual Seller,38271
191,2010,GMC,Yukon,sport,144373,17569,Used,Dealership,11993
192,2021,Lincoln,Navigator,sport,21353,21862,Certified,Dealership,54989
193,2008,GMC,Yukon,base,110360,7082,Used,Individual Seller,66456
194,2016,BMW,3 Series,base,73042,19437,Used,Dealership,62639
195,1998,Hyundai,Santa Fe,N/A,70394,24780,Used,Dealership,15325
196,2008,Dodge,Grand Caravan,luxury,58998,19232,Used,Dealership,19481
197,2007,Audi,A4,base,67966,16024,Used,Individual Seller,96281
198,1998,Kia,Forte,N/A,138645,16447,Used,Dealership,91638
199,2017,Mercedes,S-Class,sport,108759,8081,Used,Dealership,44249
200,2001,Acura,Integra,N/A,115239,11354,Used,Dealership,44126
201,2023,Buick,LaCrosse,base,1,28469,New,Dealership,40858
202,1995,Honda,Pilot,N/A,129034,19165,Used,Dealership,23997
203,1997,Mercedes,GLA,N/A,147641,8801,Used,Individual Seller,20938
204,2013,Buick,LaCrosse,base,20274,25327,Used,Individual Seller,61850
205,2018,BMW,5 Series,sport,28999,18965,Certified,Dealership,21474
206,2011,Jeep,Wrangler,base,128603,19545,Used,Dealership,21310
207,2020,Ford,Explorer,luxury,17944,23332,Certified,Dealership,28677
208,2010,Nissan,Maxima,base,100471,9292,Used,Dealership,42556
209,2000,Jeep,Wrangler,N/A,66704,25998,Used,Individual Seller,48902
210,2003,Ford,Escape,N/A,15644,19824,Used,Individual Seller,61582
211,1997,Dodge,Grand Caravan,N/A,65184,26073,Used,Individual Seller,49998
212,2022,Subaru,WRX,sport,48,33387,New,Dealership,27068
213,2005,Toyota,4Runner,N/A,48026,11274,Used,Dealership,65922
214,2016,Subaru,WRX,sport,137823,16937,Used,Dealership,81191
215,2011,Audi,A3,sport,10246,31353,Used,Dealership,20700
216,2007,Nissan,Pathfinder,base,147631,9742,Used,Individual Seller,34450
217,2010,Hyundai,Tucson,base,56766,19861,Used,Dealership,87816
218,2004,Subaru,Outback,N/A,11400,32127,Used,Dealership,37775
219,2010,Mazda,MX5,sport,107744,14521,Used,Individual Seller,18958
220,2023,Jeep,Grand Cherokee,base,83,24125,New,Dealership,35863
221,2023,Dodge,Ram 1500,sport,30,37304,New,Dealership,74425
222,2017,Toyota,Land Cruiser,sport,53744,27048,Used,Individual Seller,52091
223,2003,Mercedes,S-Class,N/A,126291,8108,Used,Dealership,24949
224,2016,Toyota,4Runner,base,99491,10334,Used,Individual Seller,10694
225,2012,Volkswagen,Atlas,base,93915,9196,Used,Individual Seller,78258
226,2016,Kia,K5,base,64058,12265,Used,Individual Seller,72937
227,2015,Buick,LaCrosse,sport,75459,5161,Used,Dealership,41777
228,2016,Subaru,WRX,sport,133992,17005,Used,Individual Seller,57036
229,2016,Kia,Sportage,sport,120822,8690,Used,Dealership,22965
230,1996,Volkswagen,Passat,N/A,115713,9119,Used,Dealership,74565
231,2008,Lexus,ES,base,114504,6737,Used,Individual Seller,78143
232,2014,Audi,A6,sport,105237,16473,Used,Individual Seller,70776
233,2008,Chevrolet,Tahoe,base,124482,13305,Used,Dealership,79688
234,1997,Dodge,Durango,N/A,44257,19833,Used,Individual Seller,48041
235,2009,Lexus,RX,luxury,95582,13169,Used,Dealership,72642
236,1995,Volvo,XC90,N/A,118749,14433,Used,Individual Seller,87351
237,2007,Honda,Accord,base,71760,17940,Used,Individual Seller,47425
238,2015,Audi,Q7,sport,68615,20672,Used,Individual Seller,90432
239,2010,Acura,TL,base,143785,10778,Used,Dealership,21922
240,2001,BMW,5 Series,N/A,102411,6505,Used,Individual Seller,52473
241,2007,Subaru,WRX,base,29356,38258,Used,Dealership,98201
242,2005,Jeep,Wrangler,N/A,114149,14421,Used,Individual Seller,15316
243,2022,Acura,Integra,base,86,48409,New,Dealership,53871
244,1999,Nissan,Murano,N/A,141278,8948,Used,Individual Seller,88622
245,2016,Chrysler,Town & Country,sport,108307,5466,Used,Dealership,30702
246,1998,Volkswagen,Tiguan,N/A,75371,16687,Used,Dealership,95140
247,2017,Lincoln,Navigator,base,85381,10844,Used,Individual Seller,59312
248,1995,Toyota,Camry,N/A,117412,13254,Used,Individual Seller,69741
249,2000,Hyundai,Tucson,N/A,98358,12429,Used,Dealership,11347
250,2014,Volkswagen,Jetta,base,97268,10374,Used,Dealership,57153
251,2010,BMW,X5,base,10252,17698,Used,Dealership,75839
252,1996,Audi,A3,N/A,73423,18924,Used,Dealership,60511
253,2012,Subaru,Forester,luxury,67300,26293,Used,Individual Seller,92051
254,2000,Kia,Sportage,N/A,119357,13397,Used,Individual Seller,50704
255,2003,Acura,Integra,N/A,54622,22307,Used,Dealership,90343
256,1997,Hyundai,Sonata,N/A,75107,7436,Used,Individual Seller,96111
257,1996,Toyota,Highlander,N/A,64642,17741,Used,Dealership,29416
258,1996,Honda,Accord,N/A,76713,15983,Used,Dealership,26877
259,1995,Chevrolet,Tahoe,N/A,58732,20305,Used,Individual Seller,43569
260,2004,Lexus,ES300,N/A,39445,21355,Used,Individual Seller,50434
261,1998,Jeep,Grand Cherokee,N/A,109791,16382,Used,Dealership,67864
262,2009,Volkswagen,Tiguan,sport,51923,20347,Used,Individual Seller,39173
263,2003,Subaru,Outback,N/A,51992,15000,Used,Individual Seller,79643
264,2018,Honda,Accord,luxury,23101,20632,Certified,Dealership,77176
265,2003,Toyota,Prius,N/A,22741,32275,Used,Individual Seller,92507
266,2008,Audi,A4,base,29745,10298,Used,Individual Seller,77613
267,2010,GMC,Sierra,sport,54717,22903,Used,Individual Seller,60754
268,2018,Dodge,Durango,base,23965,14116,Certified,Dealership,61782
269,2007,Chrysler,Town & Country,sport,34430,19880,Used,Dealership,85690
270,2023,Audi,Q7,base,70,37619,New,Dealership,71643
271,1996,Kia,Sorento,N/A,20907,24885,Used,Dealership,39145
272,1999,Lincoln,Navigator,N/A,128942,16371,Used,Individual Seller,62422
273,2004,Dodge,Durango,N/A,130635,5913,Used,Individual Seller,23152
274,2022,Audi,A4,sport,66,22461,New,Dealership,78783
275,2022,Chrysler,300,base,54,48836,New,Dealership,33859
276,2004,Honda,Civic,N/A,41803,16095,Used,Dealership,31928
277,2009,Mazda,CX-50,sport,141771,7312,Used,Individual Seller,25712
278,1999,Honda,HR-V,N/A,48029,33456,Used,Dealership,67988
279,2000,Dodge,Durango,N/A,90269,9546,Used,Dealership,44405
280,2001,Honda,Civic,N/A,20337,30540,Used,Dealership,43485
281,2006,Chevrolet,Malibu,base,25894,21136,Used,Dealership,20779
282,2016,Ford,F-150,luxury,14992,31247,Used,Dealership,58077
283,2012,Volvo,S70,sport,93734,12020,Used,Dealership,33829
284,2016,Ford,F-150,luxury,88968,13572,Used,Dealership,85566
285,2008,Ford,F-150,luxury,62653,25039,Used,Dealership,70516
286,2010,Mazda,CX-50,sport,11473,8199,Used,Individual Seller,63603
287,1999,GMC,Yukon,N/A,15126,22555,Used,Individual Seller,40300
288,2014,Volvo,S60,base,39318,9924,Used,Individual Seller,32721
289,1998,GMC,Envoy,N/A,22529,37184,Used,Dealership,41888
290,2021,Acura,Integra,sport,30338,19383,Certified,Dealership,75568
291,2009,Subaru,WRX,sport,91534,5655,Used,Dealership,25655
292,1996,Acura,TL,N/A,117526,10561,Used,Individual Seller,40880
293,2016,Dodge,Grand Caravan,luxury,18703,26910,Used,Individual Seller,88374
294,2010,Chrysler,Town & Country,sport,62674,12168,Used,Dealership,21810
295,2000,Subaru,Outback,N/A,96640,8139,Used,Individual Seller,70911
296,2005,Lincoln,Navigator,N/A,99680,15988,Used,Individual Seller,23355
297,2018,Hyundai,Sonata,base,23610,17691,Certified,Dealership,53676
298,2018,Toyota,Avalon,sport,34274,24930,Certified,Dealership,67712
299,2005,Dodge,Grand Caravan,N/A,89592,16594,Used,Dealership,10481
300,2001,Mazda,CX-5,N/A,67140,28171,Used,Dealership,78232
301,2013,Lincoln,Navigator,base,42615,21680,Used,Individual Seller,26805
302,2000,Toyota,Camry,N/A,32040,22614,Used,Dealership,75118
303,2018,Chrysler,300,luxury,22214,21661,Certified,Dealership,63387
304,2022,Audi,A4,luxury,0,47121,New,Dealership,93020
305,2020,Volvo,XC90,sport,11469,23118,Certified,Dealership,40115
306,2015,Subaru,Outback,sport,127166,17040,Used,Dealership,31328
307,2019,Volvo,XC90,base,26783,15534,Certified,Dealership,66739
308,2019,BMW,5 Series,base,19268,30259,Certified,Dealership,20849
309,2011,Chevrolet,Malibu,sport,97949,13664,Used,Dealership,84712
310,2010,Mercedes,E-Class,base,93289,8767,Used,Dealership,27389
311,2022,Buick,LaCrosse,base,17,33530,New,Dealership,47530
312,1999,Volkswagen,Passat,N/A,27361,22622,Used,Individual Seller,72694
313,1997,Ford,Ranger,N/A,111965,13254,Used,Individual Seller,45202
314,2014,Audi,Q7,base,142304,12107,Used,Individual Seller,91051
315,2018,Mazda,CX-50,base,14346,17309,Certified,Dealership,84708
316,2000,Buick,LaCrosse,N/A,45280,15390,Used,Dealership,82541
317,2003,Lincoln,Navigator,N/A,120014,16835,Used,Individual Seller,39434
318,2010,Kia,K5,sport,62068,8905,Used,Individual Seller,88420
319,1997,Jeep,Wrangler,N/A,137209,6504,Used,Dealership,87734
320,2021,BMW,3 Series,sport,32781,19560,Certified,Dealership,85110
321,1998,BMW,5 Series,N/A,91382,12108,Used,Individual Seller,66176
322,2021,Audi,A6,sport,27801,22582,Certified,Dealership,14451
323,2018,GMC,Yukon,base,19752,27616,Certified,Dealership,51545
324,2016,Buick,Regal,base,148727,14194,Used,Individual Seller,26148
325,2016,Lexus,GS,base,96442,6121,Used,Dealership,53055
326,2016,Acura,Integra,base,20246,11874,Used,Dealership,80562
327,2004,Kia,Sportage,N/A,27480,27242,Used,Dealership,61909
328,2006,Mazda,3,base,75264,15038,Used,Individual Seller,36154
329,2000,Mercedes,C-Class,N/A,128228,8690,Used,Individual Seller,14971
330,1998,Mazda,CX-90,N/A,10791,31229,Used,Individual Seller,92872
331,2003,Audi,A4,N/A,38705,25275,Used,Individual Seller,84370
332,2007,Volvo,S60,sport,73837,20805,Used,Individual Seller,43357
333,2019,Mercedes,GLA,sport,12405,19802,Certified,Dealership,37520
334,2019,Lincoln,Navigator,base,17446,29453,Certified,Dealership,94081
335,2009,Lincoln,Navigator,sport,106538,8343,Used,Individual Seller,50412
336,2014,Honda,Civic,sport,125153,10849,Used,Dealership,67088
337,1996,Buick,Regal,N/A,112065,17303,Used,Individual Seller,72323
338,2016,Honda,CR-V,sport,72094,30540,Used,Dealership,10994
339,2004,Ford,Fiesta,N/A,16752,38139,Used,Dealership,38127
340,2001,Volvo,S70,N/A,48469,14345,Used,Individual Seller,78419
341,1998,Dodge,Grand Caravan,N/A,141778,5781,Used,Individual Seller,30832
342,2015,Buick,LaCrosse,sport,136190,15306,Used,Dealership,63915
343,2020,Kia,Sorento,base,26502,22387,Certified,Dealership,33608
344,2020,Hyundai,Elantra,luxury,31592,10654,Certified,Dealership,75239
345,2012,Acura,TL,sport,69389,19925,Used,Individual Seller,54003
346,1995,Mazda,CX-50,N/A,131824,15948,Used,Dealership,55685
347,2000,Nissan,Rogue,N/A,63646,23680,Used,Individual Seller,28290
348,2001,Kia,Rio,N/A,86207,8411,Used,Individual Seller,19441
349,2014,Hyundai,Sonata,base,92680,9481,Used,Individual Seller,57560
350,1998,Subaru,WRX,N/A,134231,11842,Used,Individual Seller,69096
351,2011,Toyota,Land Cruiser,base,11175,27239,Used,Individual Seller,68386
352,2018,Mercedes,S-Class,sport,9208,25784,Certified,Dealership,93459
353,2018,Subaru,Forester,sport,5582,23907,Certified,Dealership,58280
354,2004,Dodge,Durango,N/A,76736,16267,Used,Individual Seller,69125
355,2022,Lincoln,Navigator,base,70,32127,New,Dealership,97122
356,2005,GMC,Envoy,N/A,83688,10350,Used,Individual Seller,84251
357,2004,Lexus,ES300,N/A,137455,11519,Used,Dealership,54054
358,2023,Chevrolet,Malibu,base,80,27686,New,Dealership,70588
359,2009,Subaru,Outback,sport,61337,7855,Used,Individual Seller,45240
360,2000,Subaru,Forester,N/A,115905,14374,Used,Individual Seller,60025
361,2006,Chrysler,Town & Country,base,133508,16517,Used,Dealership,73882
362,2012,Nissan,Rogue,base,112501,13018,Used,Individual Seller,60963
363,2021,Dodge,Charger,sport,29737,10792,Certified,Dealership,67292
364,2004,Dodge,Grand Caravan,N/A,13317,23484,Used,Individual Seller,42947
365,2012,Nissan,Murano,luxury,117258,18249,Used,Dealership,75779
366,2005,Hyundai,Tucson,N/A,148502,5466,Used,Individual Seller,32561
367,2021,Chevrolet,Malibu,base,27473,14560,Certified,Dealership,33744
368,2002,Dodge,Charger,N/A,140222,14963,Used,Dealership,68392
369,1999,Volkswagen,Golf,N/A,76094,6077,Used,Individual Seller,77098
370,2015,Lexus,LS,base,115643,6492,Used,Dealership,16977
371,2015,Jeep,Grand Cherokee,base,82209,10092,Used,Individual Seller,98880
372,2000,Volkswagen,Jetta,N/A,41465,23716,Used,Dealership,48373
373,2019,Lexus,RX,base,11231,19606,Certified,Dealership,62820
374,2010,Volkswagen,Golf,sport,47199,26771,Used,Individual Seller,12257
375,2007,Nissan,Murano,sport,122701,12650,Used,Individual Seller,46354
376,2016,BMW,5 Series,sport,80799,9125,Used,Dealership,59291
377,2000,Hyundai,Sonata,N/A,42954,30774,Used,Dealership,75369
378,2009,Ford,Ranger,base,103498,8790,Used,Individual Seller,33578
379,2009,Lincoln,Navigator,sport,106379,16448,Used,Individual Seller,95266
380,2018,Ford,Escape,luxury,17850,23568,Certified,Dealership,42544
381,2023,Nissan,Altima,base,11,37725,New,Dealership,55810
382,2018,BMW,3 Series,base,27854,18637,Certified,Dealership,64372
383,2001,Dodge,Ram 1500,N/A,65738,20167,Used,Dealership,90283
384,2000,Toyota,4Runner,N/A,10173,17477,Used,Dealership,69495
385,2015,Jeep,Grand Cherokee,sport,35830,30576,Used,Dealership,87478
386,2007,Chrysler,300,base,61512,22947,Used,Individual Seller,32261
387,2009,Volkswagen,Atlas,base,67008,20225,Used,Individual Seller,44888
388,1999,Acura,TL,N/A,149154,16477,Used,Individual Seller,89694
389,2023,Lincoln,Navigator,sport,3,30740,New,Dealership,95451
